#,Category Weights,Rubric Item,Question,Priority,1 - Lagging,2 - Developing,3 - Proficient,4 - Exemplary
14,TER 60% / IO 40%,"Psychological Safety & Team Climate","Does the team feel psychologically safe to voice concerns, ask questions, and suggest improvements?",High,"Team is afraid to speak up; feedback is one-way; morale is low.","Some team members hold back; feedback is inconsistent.","Team feels mostly safe; feedback is two-way and constructive.","Team has strong psychological safety; all members actively contribute ideas and feedback."
15,TER 100%,"Retention & Engagement Outcomes","Are team members engaged and staying with the organization?",High,"High turnover; disengagement is evident.","Some turnover; engagement is mixed.","Low turnover; team members are generally engaged.","Team retention is high; engagement scores are strong; team members advocate for the role."
16,KSI 100%,"Frontend Knowledge Capture & Cross-Division Sharing","How effectively is frontend knowledge captured and shared with other teams (Creative Design, Backend)?",Medium,"No cross-team knowledge sharing; frontend expertise is not leveraged.","Occasional cross-team discussions; knowledge is not documented.","Regular knowledge sharing with other teams; some documentation exists.","Frontend team is a trusted knowledge hub; expertise is actively shared and documented."
17,PD 60% / SS 20% / TER 20%,"Vision Translation & Team Purpose","How well does the Frontend Head translate product vision into clear team goals and purpose?",Medium,"Team doesn't understand the vision or strategy.","Vision is vague; team alignment is weak.","Vision is clear; team understands the direction.","Vision is compelling; team is aligned and motivated by the purpose."
18,PD 100%,"Strategic Initiative & Impact Measurement","How effectively does the Frontend Head drive strategic frontend initiatives and measure their impact?",Medium,"No strategic initiatives; impact is unmeasured.","Occasional initiatives launched; impact is unclear.","Strategic initiatives are defined and their impact is measured.","Major initiatives are delivered; clear metrics show business impact."
19,RDM 100%,"Risk-Based Prioritization","Does the Frontend Head prioritize work based on identified risks to performance, accessibility, and user experience?",High,"Work is prioritized randomly; risks are not identified or mitigated.","Some risk awareness; prioritization is sometimes reactive.","Risks are identified and prioritized appropriately.","Risks are systematically identified and prioritized; contingency plans are in place."
20,RDM 60% / CSF 40%,"Trade-off Transparency","How clearly does the Frontend Head articulate trade-offs between speed, quality, scope, and technical debt?",Medium,"Trade-offs are not discussed; decisions are unclear.","Trade-offs are acknowledged but not always transparent.","Trade-offs are clearly discussed before decisions.","Trade-offs are explicitly framed and communicated to stakeholders."
21,CSF 100%,"Responsiveness & Feedback Loops","How quickly and thoroughly does the team incorporate feedback from users and stakeholders?",Medium,"Feedback is rarely collected or acted upon.","Feedback is collected but slow to act upon.","Feedback is regularly incorporated into development.","Feedback loops are tight; user insights drive rapid iteration."
22,CD 100%,"Frontend Automation Maturity","How comprehensive is the team's automated testing coverage (unit, integration, E2E)?",High,"Minimal testing; automation is absent or broken.","Some tests exist; coverage is incomplete.","Good test coverage; automation is reliable.","Comprehensive test coverage (unit, integration, E2E); automation runs fast and reliably."
23,CD 70% / TSD 30%,"Skill Gap Closure","How effectively does the team address skill gaps in React, TypeScript, testing, and accessibility?",High,"Skill gaps are not identified or addressed.","Skill gaps are known but improvements are slow.","Skill gaps are being closed through training and mentorship.","All critical skills are strong; team is proactive in closing emerging gaps."
24,LX 100%,"Change Leadership & Frontend Evolution","How well does the Frontend Head lead the team through technical changes (e.g., Vite, component library updates)?",Medium,"Changes are forced without explanation; team is resistant.","Changes are introduced but adoption is slow and uneven.","Changes are well-planned and adopted with minimal disruption.","Changes are framed compellingly; team embraces evolution and leads improvements."
25,IO 100%,"Empowerment & Autonomy","Do team members have the autonomy to make decisions and take ownership of their work?",High,"Decisions are micromanaged; team has no autonomy.","Team has limited autonomy; approval is often required.","Team members are empowered to make most decisions.","Team members are fully empowered; ownership is distributed and celebrated."
26,CPS 100%,"Culture of Experimentation & Creative Problem Solving","Does the team embrace experimentation and creative approaches to frontend challenges?",Medium,"Team follows existing patterns; no innovation or experimentation.","Occasional experiments; risk-aversion limits creativity.","Team regularly experiments and tries new approaches.","Team proactively experiments; learning from failures is valued and celebrated."
