#,Category Weights,Rubric Item,Question,Priority,1 - Lagging,2 - Developing,3 - Proficient,4 - Exemplary
11,CDQ 50% / TSD 50%,"Code Review & Peer Mentorship",How effectively does the Hardware Head use code reviews to develop the 2-dev team and catch integration issues?,High,"Code reviews are minimal or lack technical depth.","Code reviews happen but mentorship opportunities are underutilized.","Code reviews are rigorous; developer mentorship is consistent and skills improve.","Code reviews are exemplary teaching moments; the 2-dev team rapidly matures in skills."
12,TDA 100%,"Technical Debt Management",How proactively does the Hardware Head address technical debt in driver code and hardware systems?,Medium,"Technical debt is ignored; legacy driver code accumulates unaddressed issues.","Technical debt is acknowledged but addressed sporadically.","Technical debt is tracked and addressed in planned sprints; system health is maintained.","Technical debt is systematically eliminated; hardware systems are architecturally sound."
13,TSD 70% / CSF 30%,"Team Knowledge Sharing & Skill Evolution",How well does the Hardware Head share hardware knowledge across the team and reduce the 2-dev knowledge concentration risk?,High,"Knowledge is siloed; only 1-2 individuals understand critical driver systems.","Knowledge sharing is informal; backup coverage for key areas is inadequate.","Hardware knowledge is documented and shared; cross-training reduces concentration risk.","Knowledge is systematically captured and distributed; any team member can handle core hardware tasks."
14,TER 60% / IO 40%,"Psychological Safety & Team Climate",How well does the Hardware Head foster a climate where the 7-person support team feels safe raising hardware issues and ideas?,High,"Team climate is tense; issues and ideas are suppressed rather than surfaced.","Climate is generally safe but some team members hesitate to voice concerns.","Team members feel safe raising hardware issues and contributing ideas.","Psychological safety is exemplary; the team proactively surfaces problems and innovates."
15,TER 100%,"Retention & Engagement Outcomes",How well does the Hardware Head retain key hardware team members and maintain engagement?,High,"Team turnover is high; engagement is low.","Some team members are at risk of leaving; engagement is inconsistent.","Team retention is healthy; hardware specialists remain engaged and committed.","Retention is excellent; hardware team members are highly engaged and feel valued."
16,KSI 100%,"Hardware Knowledge Capture & Cross-Division Sharing",How well does the Hardware Head capture hardware learnings and share insights with other hardware or platform teams?,Medium,"Hardware knowledge is not systematized or shared outside the team.","Knowledge sharing is occasional and informal.","Hardware learnings are documented and shared with relevant teams.","Hardware insights are systematically shared and drive improvements across the organization."
17,PD 60% / SS 20% / TER 20%,"Vision Translation & Team Purpose",How clearly does the Hardware Head communicate the hardware vision and connect daily work to larger business goals?,Medium,"Hardware vision is unclear; the team lacks understanding of why their work matters.","Vision is stated but doesn't consistently connect to daily work.","Hardware vision is clear; team understands how their work supports business goals.","Vision is compelling and inspiring; team is deeply motivated by the hardware mission."
18,PD 100%,"Strategic Initiative & Impact Measurement",How effectively does the Hardware Head drive strategic hardware initiatives and measure their business impact?,Medium,"Strategic initiatives are lacking; hardware impact is not measured.","Strategic initiatives are begun but impact measurement is incomplete.","Strategic hardware initiatives are planned and tracked; business impact is evident.","Strategic hardware initiatives drive measurable value; impact is clearly communicated."
19,RDM 100%,"Risk-Based Prioritization",How well does the Hardware Head prioritize hardware work based on risk to 99.5%+ uptime targets and system reliability?,High,"Prioritization is ad hoc; high-risk hardware issues are not addressed first.","Risk assessment guides prioritization but occasionally high-impact items are missed.","Hardware priorities are risk-based; uptime targets consistently guide work selection.","Risk-based prioritization is systematic; hardware work directly supports 99.5%+ uptime SLAs."
20,RDM 60% / CSF 40%,"Trade-off Transparency",How transparently does the Hardware Head communicate trade-offs between driver stability, feature velocity, and field support responsiveness?,Medium,"Trade-offs are unclear; stakeholders are surprised by decisions.","Trade-offs are discussed but communication is incomplete.","Trade-offs are transparent; stakeholders understand hardware prioritization decisions.","Trade-offs are masterfully communicated; all parties understand hardware strategy and priorities."
21,CSF 100%,"Responsiveness & Feedback Loops",How quickly does the Hardware Head respond to field hardware issues and incorporate field support team feedback?,Medium,"Feedback from field support is slow to reach product; response to hardware issues is sluggish.","Feedback loops exist but response times are inconsistent.","Hardware issues are addressed promptly; field support feedback shapes priorities.","Field feedback drives rapid hardware improvements; response loops are nearly instantaneous."
22,CD 100%,"Hardware Automation Maturity",How mature are automated testing, monitoring, and deployment practices for hardware and driver systems?,High,"Hardware testing and monitoring are largely manual; automation is minimal.","Some automated tests exist; monitoring is incomplete.","Automated testing and monitoring cover core hardware systems; deployments are semi-automated.","Comprehensive hardware automation enables rapid, reliable deployments and proactive issue detection."
23,CD 70% / TSD 30%,"Skill Gap Closure",How effectively does the Hardware Head close skill gaps in the 2-dev team and build hardware expertise?,High,"Skill gaps are significant; there is no systematic approach to closing them.","Skill development is addressed but progress is slow.","Skill gaps are identified and closed through training and mentorship.","Skill gaps are consistently closed; the 2-dev team is rapidly building deep hardware expertise."
24,LX 100%,"Change Leadership & Hardware Evolution",How well does the Hardware Head lead the team through hardware platform changes and evolution?,Medium,"Hardware changes are poorly communicated; team resistance is high.","Hardware evolution is managed but change adoption is uneven.","Hardware changes are well-led; team adapts and supports evolution.","Hardware evolution is championed; team enthusiastically embraces and drives innovation."
25,IO 100%,"Empowerment & Autonomy",How well does the Hardware Head empower the 7-person support team to make hardware decisions and solve problems independently?,High,"Support team has little autonomy; all decisions flow through the Hardware Head.","Support team has some decision-making authority but boundaries are unclear.","Support team is empowered to make most hardware decisions within clear guardrails.","Support team is highly autonomous; they confidently solve complex hardware problems independently."
26,CPS 100%,"Culture of Experimentation & Creative Problem Solving",How much does the Hardware Head encourage controlled experimentation and creative approaches to hardware challenges?,Medium,"Experimentation is discouraged; standard approaches are rigid.","Experimentation is allowed but not actively encouraged.","Experimentation is encouraged; the team tries new approaches to hardware problems.","Experimentation is celebrated; creative hardware solutions emerge regularly from the team."
